userId	geneSymbol	geneName	entrezgene	gLink
Hdgf	Hdgf	hepatoma-derived growth factor	15191	https://www.ncbi.nlm.nih.gov/gene/?term=15191
Pias4	Pias4	protein inhibitor of activated STAT 4	59004	https://www.ncbi.nlm.nih.gov/gene/?term=59004
Wdr83	Wdr83	WD repeat domain containing 83	67836	https://www.ncbi.nlm.nih.gov/gene/?term=67836
Prdx2	Prdx2	peroxiredoxin 2	21672	https://www.ncbi.nlm.nih.gov/gene/?term=21672
Senp3	Senp3	SUMO/sentrin specific peptidase 3	80886	https://www.ncbi.nlm.nih.gov/gene/?term=80886
Cic	Cic	capicua transcriptional repressor	71722	https://www.ncbi.nlm.nih.gov/gene/?term=71722
Por	Por	P450 (cytochrome) oxidoreductase	18984	https://www.ncbi.nlm.nih.gov/gene/?term=18984
Trim28	Trim28	tripartite motif-containing 28	21849	https://www.ncbi.nlm.nih.gov/gene/?term=21849
Ube2m	Ube2m	ubiquitin-conjugating enzyme E2M	22192	https://www.ncbi.nlm.nih.gov/gene/?term=22192
Adcy9	Adcy9	adenylate cyclase 9	11515	https://www.ncbi.nlm.nih.gov/gene/?term=11515
Tomm40l	Tomm40l	translocase of outer mitochondrial membrane 40-like	641376	https://www.ncbi.nlm.nih.gov/gene/?term=641376
Nr1i3	Nr1i3	nuclear receptor subfamily 1, group I, member 3	12355	https://www.ncbi.nlm.nih.gov/gene/?term=12355
Apoa2	Apoa2	apolipoprotein A-II	11807	https://www.ncbi.nlm.nih.gov/gene/?term=11807
Tfap4	Tfap4	transcription factor AP4	83383	https://www.ncbi.nlm.nih.gov/gene/?term=83383
Sra1	Sra1	steroid receptor RNA activator 1	24068	https://www.ncbi.nlm.nih.gov/gene/?term=24068
Kmt2b	Kmt2b	lysine (K)-specific methyltransferase 2B	75410	https://www.ncbi.nlm.nih.gov/gene/?term=75410
Zbtb32	Zbtb32	zinc finger and BTB domain containing 32	58206	https://www.ncbi.nlm.nih.gov/gene/?term=58206
Rps9	Rps9	ribosomal protein S9	76846	https://www.ncbi.nlm.nih.gov/gene/?term=76846
Nsmf	Nsmf	NMDA receptor synaptonuclear signaling and neuronal migration factor	56876	https://www.ncbi.nlm.nih.gov/gene/?term=56876
Itih3	Itih3	inter-alpha trypsin inhibitor, heavy chain 3	16426	https://www.ncbi.nlm.nih.gov/gene/?term=16426
Tmco6	Tmco6	transmembrane and coiled-coil domains 6	71983	https://www.ncbi.nlm.nih.gov/gene/?term=71983
Chrd	Chrd	chordin	12667	https://www.ncbi.nlm.nih.gov/gene/?term=12667
Hspa1l	Hspa1l	heat shock protein 1-like	15482	https://www.ncbi.nlm.nih.gov/gene/?term=15482
Lsm2	Lsm2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated	27756	https://www.ncbi.nlm.nih.gov/gene/?term=27756
Mrpl49	Mrpl49	mitochondrial ribosomal protein L49	18120	https://www.ncbi.nlm.nih.gov/gene/?term=18120
Rhoa	Rhoa	ras homolog family member A	11848	https://www.ncbi.nlm.nih.gov/gene/?term=11848
Aldh16a1	Aldh16a1	aldehyde dehydrogenase 16 family, member A1	69748	https://www.ncbi.nlm.nih.gov/gene/?term=69748
Fbxw9	Fbxw9	F-box and WD-40 domain protein 9	68628	https://www.ncbi.nlm.nih.gov/gene/?term=68628
Ubc	Ubc	ubiquitin C	22190	https://www.ncbi.nlm.nih.gov/gene/?term=22190
Rpl10	Rpl10	ribosomal protein L10	110954	https://www.ncbi.nlm.nih.gov/gene/?term=110954
Hipk1	Hipk1	homeodomain interacting protein kinase 1	15257	https://www.ncbi.nlm.nih.gov/gene/?term=15257
Vps72	Vps72	vacuolar protein sorting 72	21427	https://www.ncbi.nlm.nih.gov/gene/?term=21427
Ewsr1	Ewsr1	Ewing sarcoma breakpoint region 1	14030	https://www.ncbi.nlm.nih.gov/gene/?term=14030
Derl3	Derl3	Der1-like domain family, member 3	70377	https://www.ncbi.nlm.nih.gov/gene/?term=70377
Rarres2	Rarres2	retinoic acid receptor responder (tazarotene induced) 2	71660	https://www.ncbi.nlm.nih.gov/gene/?term=71660
Fxyd5	Fxyd5	FXYD domain-containing ion transport regulator 5	18301	https://www.ncbi.nlm.nih.gov/gene/?term=18301
Sdhb	Sdhb	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	67680	https://www.ncbi.nlm.nih.gov/gene/?term=67680
Rps25	Rps25	ribosomal protein S25	75617	https://www.ncbi.nlm.nih.gov/gene/?term=75617
Zmynd10	Zmynd10	zinc finger, MYND domain containing 10	114602	https://www.ncbi.nlm.nih.gov/gene/?term=114602
Tmem115	Tmem115	transmembrane protein 115	56395	https://www.ncbi.nlm.nih.gov/gene/?term=56395
Hyal2	Hyal2	hyaluronoglucosaminidase 2	15587	https://www.ncbi.nlm.nih.gov/gene/?term=15587
Ifrd2	Ifrd2	interferon-related developmental regulator 2	15983	https://www.ncbi.nlm.nih.gov/gene/?term=15983
Hyal1	Hyal1	hyaluronoglucosaminidase 1	15586	https://www.ncbi.nlm.nih.gov/gene/?term=15586
Tusc2	Tusc2	tumor suppressor 2, mitochondrial calcium regulator	80385	https://www.ncbi.nlm.nih.gov/gene/?term=80385
Rassf1	Rassf1	Ras association (RalGDS/AF-6) domain family member 1	56289	https://www.ncbi.nlm.nih.gov/gene/?term=56289
Slc3a2	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	17254	https://www.ncbi.nlm.nih.gov/gene/?term=17254
Stx5a	Stx5a	syntaxin 5A	56389	https://www.ncbi.nlm.nih.gov/gene/?term=56389
Rbm25	Rbm25	RNA binding motif protein 25	67039	https://www.ncbi.nlm.nih.gov/gene/?term=67039
Plin5	Plin5	perilipin 5	66968	https://www.ncbi.nlm.nih.gov/gene/?term=66968
Evi5	Evi5	ecotropic viral integration site 5	14020	https://www.ncbi.nlm.nih.gov/gene/?term=14020
Dedd	Dedd	death effector domain-containing	21945	https://www.ncbi.nlm.nih.gov/gene/?term=21945
Ndufa2	Ndufa2	NADH:ubiquinone oxidoreductase subunit A2	17991	https://www.ncbi.nlm.nih.gov/gene/?term=17991
Slc25a11	Slc25a11	solute carrier family 25 (mitochondrial carrier oxoglutarate carrier), member 11	67863	https://www.ncbi.nlm.nih.gov/gene/?term=67863
Pdcd2	Pdcd2	programmed cell death 2	18567	https://www.ncbi.nlm.nih.gov/gene/?term=18567
Adamts13	Adamts13	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 13	279028	https://www.ncbi.nlm.nih.gov/gene/?term=279028
Surf2	Surf2	surfeit gene 2	20931	https://www.ncbi.nlm.nih.gov/gene/?term=20931
Yes1	Yes1	YES proto-oncogene 1, Src family tyrosine kinase	22612	https://www.ncbi.nlm.nih.gov/gene/?term=22612
Hnrnpl	Hnrnpl	heterogeneous nuclear ribonucleoprotein L	15388	https://www.ncbi.nlm.nih.gov/gene/?term=15388
Mocs2	Mocs2	molybdenum cofactor synthesis 2	17434	https://www.ncbi.nlm.nih.gov/gene/?term=17434
Med22	Med22	mediator complex subunit 22	20933	https://www.ncbi.nlm.nih.gov/gene/?term=20933
Surf1	Surf1	surfeit gene 1	20930	https://www.ncbi.nlm.nih.gov/gene/?term=20930
Qdpr	Qdpr	quinoid dihydropteridine reductase	110391	https://www.ncbi.nlm.nih.gov/gene/?term=110391
Sqstm1	Sqstm1	sequestosome 1	18412	https://www.ncbi.nlm.nih.gov/gene/?term=18412
Rxra	Rxra	retinoid X receptor alpha	20181	https://www.ncbi.nlm.nih.gov/gene/?term=20181
Amdhd1	Amdhd1	amidohydrolase domain containing 1	71761	https://www.ncbi.nlm.nih.gov/gene/?term=71761
Il17rb	Il17rb	interleukin 17 receptor B	50905	https://www.ncbi.nlm.nih.gov/gene/?term=50905
Chdh	Chdh	choline dehydrogenase	218865	https://www.ncbi.nlm.nih.gov/gene/?term=218865
Cmah	Cmah	cytidine monophospho-N-acetylneuraminic acid hydroxylase	12763	https://www.ncbi.nlm.nih.gov/gene/?term=12763
Kctd2	Kctd2	potassium channel tetramerisation domain containing 2	70382	https://www.ncbi.nlm.nih.gov/gene/?term=70382
Sdc4	Sdc4	syndecan 4	20971	https://www.ncbi.nlm.nih.gov/gene/?term=20971
Traf4	Traf4	TNF receptor associated factor 4	22032	https://www.ncbi.nlm.nih.gov/gene/?term=22032
Nek8	Nek8	NIMA (never in mitosis gene a)-related expressed kinase 8	140859	https://www.ncbi.nlm.nih.gov/gene/?term=140859
Igfbp4	Igfbp4	insulin-like growth factor binding protein 4	16010	https://www.ncbi.nlm.nih.gov/gene/?term=16010
Ttpal	Ttpal	tocopherol (alpha) transfer protein-like	76080	https://www.ncbi.nlm.nih.gov/gene/?term=76080
Pltp	Pltp	phospholipid transfer protein	18830	https://www.ncbi.nlm.nih.gov/gene/?term=18830
B4galt5	B4galt5	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	56336	https://www.ncbi.nlm.nih.gov/gene/?term=56336
Hnf4a	Hnf4a	hepatic nuclear factor 4, alpha	15378	https://www.ncbi.nlm.nih.gov/gene/?term=15378
Cyb5r3	Cyb5r3	cytochrome b5 reductase 3	109754	https://www.ncbi.nlm.nih.gov/gene/?term=109754
Erbb3	Erbb3	erb-b2 receptor tyrosine kinase 3	13867	https://www.ncbi.nlm.nih.gov/gene/?term=13867
Spag7	Spag7	sperm associated antigen 7	216873	https://www.ncbi.nlm.nih.gov/gene/?term=216873
Pfn1	Pfn1	profilin 1	18643	https://www.ncbi.nlm.nih.gov/gene/?term=18643
Smurf2	Smurf2	SMAD specific E3 ubiquitin protein ligase 2	66313	https://www.ncbi.nlm.nih.gov/gene/?term=66313
Cep95	Cep95	centrosomal protein 95	320162	https://www.ncbi.nlm.nih.gov/gene/?term=320162
Mtmr4	Mtmr4	myotubularin related protein 4	170749	https://www.ncbi.nlm.nih.gov/gene/?term=170749
Chd3	Chd3	chromodomain helicase DNA binding protein 3	216848	https://www.ncbi.nlm.nih.gov/gene/?term=216848
Cenpv	Cenpv	centromere protein V	73139	https://www.ncbi.nlm.nih.gov/gene/?term=73139
Pex12	Pex12	peroxisomal biogenesis factor 12	103737	https://www.ncbi.nlm.nih.gov/gene/?term=103737
Tnfsfm13	Tnfsfm13	tumor necrosis factor (ligand) superfamily, membrane-bound member 13	619441	https://www.ncbi.nlm.nih.gov/gene/?term=619441
Mpdu1	Mpdu1	mannose-P-dolichol utilization defect 1	24070	https://www.ncbi.nlm.nih.gov/gene/?term=24070
Fxr2	Fxr2	fragile X mental retardation, autosomal homolog 2	23879	https://www.ncbi.nlm.nih.gov/gene/?term=23879
Cd68	Cd68	CD68 antigen	12514	https://www.ncbi.nlm.nih.gov/gene/?term=12514
Mrpl58	Mrpl58	mitochondrial ribosomal protein L58	68572	https://www.ncbi.nlm.nih.gov/gene/?term=68572
Slc25a22	Slc25a22	solute carrier family 25 (mitochondrial carrier, glutamate), member 22	68267	https://www.ncbi.nlm.nih.gov/gene/?term=68267
Dnase1l1	Dnase1l1	deoxyribonuclease 1-like 1	69537	https://www.ncbi.nlm.nih.gov/gene/?term=69537
Grb7	Grb7	growth factor receptor bound protein 7	14786	https://www.ncbi.nlm.nih.gov/gene/?term=14786
Noxo1	Noxo1	NADPH oxidase organizer 1	71893	https://www.ncbi.nlm.nih.gov/gene/?term=71893
Ddx39b	Ddx39b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B	53817	https://www.ncbi.nlm.nih.gov/gene/?term=53817
Tlcd1	Tlcd1	TLC domain containing 1	68385	https://www.ncbi.nlm.nih.gov/gene/?term=68385
Gtf3c6	Gtf3c6	general transcription factor IIIC, polypeptide 6, alpha	67371	https://www.ncbi.nlm.nih.gov/gene/?term=67371
Slc16a10	Slc16a10	solute carrier family 16 (monocarboxylic acid transporters), member 10	72472	https://www.ncbi.nlm.nih.gov/gene/?term=72472
Rhobtb1	Rhobtb1	Rho-related BTB domain containing 1	69288	https://www.ncbi.nlm.nih.gov/gene/?term=69288
Arid5b	Arid5b	AT rich interactive domain 5B (MRF1-like)	71371	https://www.ncbi.nlm.nih.gov/gene/?term=71371
Enpp3	Enpp3	ectonucleotide pyrophosphatase/phosphodiesterase 3	209558	https://www.ncbi.nlm.nih.gov/gene/?term=209558
Hsp90b1	Hsp90b1	heat shock protein 90, beta (Grp94), member 1	22027	https://www.ncbi.nlm.nih.gov/gene/?term=22027
Lrig3	Lrig3	leucine-rich repeats and immunoglobulin-like domains 3	320398	https://www.ncbi.nlm.nih.gov/gene/?term=320398
Dnajb12	Dnajb12	DnaJ heat shock protein family (Hsp40) member B12	56709	https://www.ncbi.nlm.nih.gov/gene/?term=56709
Egfr	Egfr	epidermal growth factor receptor	13649	https://www.ncbi.nlm.nih.gov/gene/?term=13649
Pcsk4	Pcsk4	proprotein convertase subtilisin/kexin type 4	18551	https://www.ncbi.nlm.nih.gov/gene/?term=18551
Apc2	Apc2	adenomatosis polyposis coli 2	23805	https://www.ncbi.nlm.nih.gov/gene/?term=23805
Thap2	Thap2	THAP domain containing, apoptosis associated protein 2	66816	https://www.ncbi.nlm.nih.gov/gene/?term=66816
Gamt	Gamt	guanidinoacetate methyltransferase	14431	https://www.ncbi.nlm.nih.gov/gene/?term=14431
Ndufs7	Ndufs7	NADH:ubiquinone oxidoreductase core subunit S7	75406	https://www.ncbi.nlm.nih.gov/gene/?term=75406
Mknk2	Mknk2	MAP kinase-interacting serine/threonine kinase 2	17347	https://www.ncbi.nlm.nih.gov/gene/?term=17347
Wdr82	Wdr82	WD repeat domain containing 82	77305	https://www.ncbi.nlm.nih.gov/gene/?term=77305
Glyctk	Glyctk	glycerate kinase	235582	https://www.ncbi.nlm.nih.gov/gene/?term=235582
Hnrnpab	Hnrnpab	heterogeneous nuclear ribonucleoprotein A/B	15384	https://www.ncbi.nlm.nih.gov/gene/?term=15384
Rack1	Rack1	receptor for activated C kinase 1	14694	https://www.ncbi.nlm.nih.gov/gene/?term=14694
Ltc4s	Ltc4s	leukotriene C4 synthase	17001	https://www.ncbi.nlm.nih.gov/gene/?term=17001
Mrnip	Mrnip	MRN complex interacting protein	68067	https://www.ncbi.nlm.nih.gov/gene/?term=68067
Sar1b	Sar1b	secretion associated Ras related GTPase 1B	66397	https://www.ncbi.nlm.nih.gov/gene/?term=66397
Jade2	Jade2	jade family PHD finger 2	76901	https://www.ncbi.nlm.nih.gov/gene/?term=76901
Ube2b	Ube2b	ubiquitin-conjugating enzyme E2B	22210	https://www.ncbi.nlm.nih.gov/gene/?term=22210
Trim11	Trim11	tripartite motif-containing 11	94091	https://www.ncbi.nlm.nih.gov/gene/?term=94091
Xbp1	Xbp1	X-box binding protein 1	22433	https://www.ncbi.nlm.nih.gov/gene/?term=22433
Btnl10	Btnl10	butyrophilin-like 10	192194	https://www.ncbi.nlm.nih.gov/gene/?term=192194
Prkar1a	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha	19084	https://www.ncbi.nlm.nih.gov/gene/?term=19084
Abca8b	Abca8b	ATP-binding cassette, sub-family A (ABC1), member 8b	27404	https://www.ncbi.nlm.nih.gov/gene/?term=27404
Taf15	Taf15	TATA-box binding protein associated factor 15	70439	https://www.ncbi.nlm.nih.gov/gene/?term=70439
Rnf135	Rnf135	ring finger protein 135	71956	https://www.ncbi.nlm.nih.gov/gene/?term=71956
Adap2	Adap2	ArfGAP with dual PH domains 2	216991	https://www.ncbi.nlm.nih.gov/gene/?term=216991
Ern1	Ern1	endoplasmic reticulum (ER) to nucleus signalling 1	78943	https://www.ncbi.nlm.nih.gov/gene/?term=78943
Polg2	Polg2	polymerase (DNA directed), gamma 2, accessory subunit	50776	https://www.ncbi.nlm.nih.gov/gene/?term=50776
Ddx5	Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	13207	https://www.ncbi.nlm.nih.gov/gene/?term=13207
Rabep1	Rabep1	rabaptin, RAB GTPase binding effector protein 1	54189	https://www.ncbi.nlm.nih.gov/gene/?term=54189
Kif1c	Kif1c	kinesin family member 1C	16562	https://www.ncbi.nlm.nih.gov/gene/?term=16562
Nr1d1	Nr1d1	nuclear receptor subfamily 1, group D, member 1	217166	https://www.ncbi.nlm.nih.gov/gene/?term=217166
Per1	Per1	period circadian clock 1	18626	https://www.ncbi.nlm.nih.gov/gene/?term=18626
Tmem107	Tmem107	transmembrane protein 107	66910	https://www.ncbi.nlm.nih.gov/gene/?term=66910
Stat5b	Stat5b	signal transducer and activator of transcription 5B	20851	https://www.ncbi.nlm.nih.gov/gene/?term=20851
Dcakd	Dcakd	dephospho-CoA kinase domain containing	68087	https://www.ncbi.nlm.nih.gov/gene/?term=68087
Nmt1	Nmt1	N-myristoyltransferase 1	18107	https://www.ncbi.nlm.nih.gov/gene/?term=18107
Polr2h	Polr2h	polymerase (RNA) II (DNA directed) polypeptide H	245841	https://www.ncbi.nlm.nih.gov/gene/?term=245841
Nfkbia	Nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	18035	https://www.ncbi.nlm.nih.gov/gene/?term=18035
Sgpp1	Sgpp1	sphingosine-1-phosphate phosphatase 1	81535	https://www.ncbi.nlm.nih.gov/gene/?term=81535
Serpina3n	Serpina3n	serine (or cysteine) peptidase inhibitor, clade A, member 3N	20716	https://www.ncbi.nlm.nih.gov/gene/?term=20716
Clmn	Clmn	calmin	94040	https://www.ncbi.nlm.nih.gov/gene/?term=94040
Glrx5	Glrx5	glutaredoxin 5	73046	https://www.ncbi.nlm.nih.gov/gene/?term=73046
Srsf5	Srsf5	serine/arginine-rich splicing factor 5	20384	https://www.ncbi.nlm.nih.gov/gene/?term=20384
Slc10a1	Slc10a1	solute carrier family 10 (sodium/bile acid cotransporter family), member 1	20493	https://www.ncbi.nlm.nih.gov/gene/?term=20493
Eif5	Eif5	NA	217869	https://www.ncbi.nlm.nih.gov/gene/?term=217869
Slc17a1	Slc17a1	solute carrier family 17 (sodium phosphate), member 1	20504	https://www.ncbi.nlm.nih.gov/gene/?term=20504
Gpld1	Gpld1	glycosylphosphatidylinositol specific phospholipase D1	14756	https://www.ncbi.nlm.nih.gov/gene/?term=14756
Elovl2	Elovl2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	54326	https://www.ncbi.nlm.nih.gov/gene/?term=54326
Wrnip1	Wrnip1	Werner helicase interacting protein 1	78903	https://www.ncbi.nlm.nih.gov/gene/?term=78903
Sfxn1	Sfxn1	sideroflexin 1	14057	https://www.ncbi.nlm.nih.gov/gene/?term=14057
Lman2	Lman2	lectin, mannose-binding 2	66890	https://www.ncbi.nlm.nih.gov/gene/?term=66890
Mxd3	Mxd3	Max dimerization protein 3	17121	https://www.ncbi.nlm.nih.gov/gene/?term=17121
Dapk1	Dapk1	death associated protein kinase 1	69635	https://www.ncbi.nlm.nih.gov/gene/?term=69635
Acot12	Acot12	acyl-CoA thioesterase 12	74156	https://www.ncbi.nlm.nih.gov/gene/?term=74156
Marveld2	Marveld2	MARVEL (membrane-associating) domain containing 2	218518	https://www.ncbi.nlm.nih.gov/gene/?term=218518
Ocln	Ocln	occludin	18260	https://www.ncbi.nlm.nih.gov/gene/?term=18260
Gfm2	Gfm2	G elongation factor, mitochondrial 2	320806	https://www.ncbi.nlm.nih.gov/gene/?term=320806
Pdhb	Pdhb	pyruvate dehydrogenase (lipoamide) beta	68263	https://www.ncbi.nlm.nih.gov/gene/?term=68263
Il6st	Il6st	interleukin 6 signal transducer	16195	https://www.ncbi.nlm.nih.gov/gene/?term=16195
Vdac2	Vdac2	voltage-dependent anion channel 2	22334	https://www.ncbi.nlm.nih.gov/gene/?term=22334
Hacl1	Hacl1	2-hydroxyacyl-CoA lyase 1	56794	https://www.ncbi.nlm.nih.gov/gene/?term=56794
Btd	Btd	biotinidase	26363	https://www.ncbi.nlm.nih.gov/gene/?term=26363
Glt8d1	Glt8d1	glycosyltransferase 8 domain containing 1	76485	https://www.ncbi.nlm.nih.gov/gene/?term=76485
Spcs1	Spcs1	signal peptidase complex subunit 1 homolog (S. cerevisiae)	69019	https://www.ncbi.nlm.nih.gov/gene/?term=69019
Slc25a30	Slc25a30	solute carrier family 25, member 30	67554	https://www.ncbi.nlm.nih.gov/gene/?term=67554
Wbp4	Wbp4	WW domain binding protein 4	22380	https://www.ncbi.nlm.nih.gov/gene/?term=22380
Ephx2	Ephx2	epoxide hydrolase 2, cytoplasmic	13850	https://www.ncbi.nlm.nih.gov/gene/?term=13850
Chrna2	Chrna2	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)	110902	https://www.ncbi.nlm.nih.gov/gene/?term=110902
Slc39a14	Slc39a14	solute carrier family 39 (zinc transporter), member 14	213053	https://www.ncbi.nlm.nih.gov/gene/?term=213053
Bmp1	Bmp1	bone morphogenetic protein 1	12153	https://www.ncbi.nlm.nih.gov/gene/?term=12153
Itm2b	Itm2b	integral membrane protein 2B	16432	https://www.ncbi.nlm.nih.gov/gene/?term=16432
Cmbl	Cmbl	carboxymethylenebutenolidase-like (Pseudomonas)	69574	https://www.ncbi.nlm.nih.gov/gene/?term=69574
Rida	Rida	reactive intermediate imine deaminase A homolog	15473	https://www.ncbi.nlm.nih.gov/gene/?term=15473
Mtss1	Mtss1	metastasis suppressor 1	211401	https://www.ncbi.nlm.nih.gov/gene/?term=211401
Tbc1d31	Tbc1d31	TBC1 domain family, member 31	210544	https://www.ncbi.nlm.nih.gov/gene/?term=210544
