#erna_AL_master_LIV Stitched Peaks
#Created from output/6h_FAST_deduped/erna_AL_master_LIV_12.5KB_STITCHED_REGION_MAP.txt
#Ranked by X6h_FAST_deduped.BAM
#Using cutoff of 18689.877 for Super-Stitched Peaks
#Created on Jan 19 2023 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X6h_FAST_deduped.BAM	stitchedPeakRank	isSuper
20_enhancer_lociStitched	chr12	104944660	105006470	20	7450	186987.641	49	1
20_enhancer_lociStitched	chr1	136837720	136899150	20	7860	186899.531	50	1
12_enhancer_lociStitched	chr1	91364210	91393460	12	5862	186303.598	51	1
12_enhancer_lociStitched	chr2	92250700	92291080	12	4832	186303.598	52	1
20_enhancer_lociStitched	chr6	90427510	90470010	20	10310	186297.2	53	1
12_enhancer_lociStitched	chr17	46747950	46773680	12	5722	185940.249	54	1
12_enhancer_lociStitched	chr7	89668710	89711210	12	4622	185940.249	55	1
12_enhancer_lociStitched	chr11	77647230	77693790	12	4862	185940.249	56	1
14_enhancer_lociStitched	chr19	36641220	36690830	14	5954	185710.655	57	1
12_enhancer_lociStitched	chr11	120461830	120473320	12	4012	185701.267	58	1
12_enhancer_lociStitched	chr17	71395140	71407540	12	4522	185701.267	59	1
12_enhancer_lociStitched	chr9	56971400	56984440	12	4952	185701.267	60	1
12_enhancer_lociStitched	chr17	87589380	87606660	12	3692	185701.267	61	1
12_enhancer_lociStitched	chr19	12572830	12591480	12	4572	185701.267	62	1
12_enhancer_lociStitched	chr4	136178520	136198550	12	5002	185701.267	63	1
12_enhancer_lociStitched	chr14	14209010	14229110	12	4662	185701.267	64	1
12_enhancer_lociStitched	chr12	80177310	80197830	12	4232	185701.267	65	1
12_enhancer_lociStitched	chr7	44497740	44519950	12	5602	185701.267	66	1
12_enhancer_lociStitched	chr19	53298570	53320960	12	4502	185701.267	67	1
12_enhancer_lociStitched	chr6	125269210	125292180	12	3962	185701.267	68	1
12_enhancer_lociStitched	chr14	76021540	76045960	12	5492	185701.267	69	1
12_enhancer_lociStitched	chr7	19478510	19504570	12	4192	185701.267	70	1
12_enhancer_lociStitched	chr2	90384130	90411480	12	4382	185701.267	71	1
12_enhancer_lociStitched	chr5	124660370	124691120	12	4302	185701.267	72	1
12_enhancer_lociStitched	chr1	164050510	164082670	12	5232	185701.267	73	1
12_enhancer_lociStitched	chr8	71196710	71230740	12	4522	185701.267	74	1
12_enhancer_lociStitched	chr2	84572080	84606320	12	4482	185701.267	75	1
12_enhancer_lociStitched	chr1	21367560	21404500	12	6872	185701.267	76	1
14_enhancer_lociStitched	chr3	10379220	10416690	14	5404	185471.673	77	1
12_enhancer_lociStitched	chr4	140934360	140968350	12	4542	185163.97	78	1
14_enhancer_lociStitched	chr11	98930560	98964940	14	5604	185108.324	79	1
14_enhancer_lociStitched	chr10	79713590	79764100	14	4934	185108.324	80	1
23_enhancer_lociStitched	chr2	167641040	167712360	23	10403	185049.565	81	1
14_enhancer_lociStitched	chr9	77817460	77833790	14	4564	184869.342	82	1
14_enhancer_lociStitched	chr5	137972960	137990630	14	4754	184869.342	83	1
14_enhancer_lociStitched	chr8	124522490	124547960	14	5224	184869.342	84	1
14_enhancer_lociStitched	chr2	10130080	10158570	14	5404	184869.342	85	1
23_enhancer_lociStitched	chr18	84866720	84940360	23	12293	184303.939	86	1
12_enhancer_lociStitched	chr9	106033370	106049330	12	4622	184204.296	87	1
20_enhancer_lociStitched	chr7	140287320	140355310	20	9870	183860.016	88	1
20_enhancer_lociStitched	chr10	126956910	127017740	20	7930	183735.649	89	1
14_enhancer_lociStitched	chr5	123318210	123341970	14	6124	183372.371	90	1
14_enhancer_lociStitched	chr4	60772960	60797370	14	6634	183372.371	91	1
14_enhancer_lociStitched	chr8	22874150	22904670	14	5734	183372.371	92	1
14_enhancer_lociStitched	chr13	22199660	22235400	14	5394	183372.371	93	1
20_enhancer_lociStitched	chr2	18024350	18070490	20	7880	183263.223	94	1
20_enhancer_lociStitched	chr9	42171830	42192290	20	7440	182007.69	95	1
20_enhancer_lociStitched	chr2	103280460	103343030	20	8890	182007.69	96	1
30_enhancer_lociStitched	chr10	79974930	80015760	30	11120	180664.271	97	1
20_enhancer_lociStitched	chr9	106113140	106158640	20	9160	179583.01	98	1
20_enhancer_lociStitched	chr11	79631980	79684500	20	8370	179583.01	99	1
25_enhancer_lociStitched	chr11	69552950	69610450	25	8885	179578.162	100	1
12_enhancer_lociStitched	chr11	117718220	117745980	12	5242	178287.704	101	1
12_enhancer_lociStitched	chrX	139411840	139444310	12	5562	178287.704	102	1
14_enhancer_lociStitched	chr19	8897310	8944600	14	5704	178058.11	103	1
14_enhancer_lociStitched	chr6	88021130	88062310	14	5234	177455.779	104	1
14_enhancer_lociStitched	chr11	11878430	11916310	14	7004	174545.415	105	1
14_enhancer_lociStitched	chr10	128400950	128437160	14	5334	174328.154	106	1
12_enhancer_lociStitched	chr4	149857730	149885040	12	5532	172995.341	107	1
12_enhancer_lociStitched	chr15	99726730	99773670	12	4592	172995.341	108	1
12_enhancer_lociStitched	chr11	70696300	70736950	12	4572	172631.992	109	1
12_enhancer_lociStitched	chr15	86053930	86099020	12	4402	172631.992	110	1
12_enhancer_lociStitched	chr18	77801560	77862560	12	4362	172631.992	111	1
14_enhancer_lociStitched	chr13	100713530	100753840	14	5484	172402.398	112	1
12_enhancer_lociStitched	chr14	73611020	73626380	12	4292	172393.01	113	1
12_enhancer_lociStitched	chr6	38848020	38867710	12	3552	172393.01	114	1
12_enhancer_lociStitched	chr7	97990640	98010830	12	4362	172393.01	115	1
12_enhancer_lociStitched	chr2	91012340	91033550	12	3702	172393.01	116	1
12_enhancer_lociStitched	chr5	88691840	88714030	12	3892	172393.01	117	1
12_enhancer_lociStitched	chr14	66348580	66378130	12	5102	172393.01	118	1
12_enhancer_lociStitched	chr5	146610940	146640770	12	4692	172393.01	119	1
12_enhancer_lociStitched	chr13	111924690	111955320	12	4072	172393.01	120	1
12_enhancer_lociStitched	chr8	34131350	34163760	12	3882	172393.01	121	1
12_enhancer_lociStitched	chr12	8605540	8641620	12	4882	172393.01	122	1
12_enhancer_lociStitched	chr5	92496430	92535690	12	4852	172393.01	123	1
14_enhancer_lociStitched	chr19	3871810	3904920	14	5604	172163.416	124	1
14_enhancer_lociStitched	chr5	66231000	66272420	14	6484	172163.416	125	1
12_enhancer_lociStitched	chr6	31184250	31198970	12	4892	172065.918	126	1
12_enhancer_lociStitched	chr4	144618520	144633740	12	5282	172065.918	127	1
12_enhancer_lociStitched	chr2	58631890	58648480	12	6202	172065.918	128	1
12_enhancer_lociStitched	chr19	11973010	11990890	12	4222	172065.918	129	1
12_enhancer_lociStitched	chr11	69965180	69984730	12	4232	172065.918	130	1
12_enhancer_lociStitched	chr11	106376900	106406170	12	5142	172065.918	131	1
12_enhancer_lociStitched	chr3	81882220	81912150	12	5962	172065.918	132	1
12_enhancer_lociStitched	chr1	13716640	13749070	12	5182	172065.918	133	1
12_enhancer_lociStitched	chr7	4139690	4174050	12	5272	172065.918	134	1
14_enhancer_lociStitched	chr8	56722730	56752830	14	4424	171800.067	135	1
14_enhancer_lociStitched	chr7	12757660	12800050	14	5004	171800.067	136	1
14_enhancer_lociStitched	chr18	38471050	38524410	14	5174	171800.067	137	1
14_enhancer_lociStitched	chr16	93507800	93542220	14	4064	171561.085	138	1
14_enhancer_lociStitched	chr17	34109540	34159490	14	5194	171561.085	139	1
12_enhancer_lociStitched	chr4	118346930	118384690	12	5152	171411.438	140	1
14_enhancer_lociStitched	chr12	70270030	70282330	14	4694	171233.993	141	1
14_enhancer_lociStitched	chr5	123273400	123289450	14	5534	171233.993	142	1
14_enhancer_lociStitched	chr4	61928760	61950430	14	7034	171233.993	143	1
14_enhancer_lociStitched	chr8	91595810	91619610	14	5674	171233.993	144	1
14_enhancer_lociStitched	chr12	104807290	104831600	14	5874	171233.993	145	1
14_enhancer_lociStitched	chr4	150297100	150324890	14	4384	171233.993	146	1
14_enhancer_lociStitched	chr10	80633760	80667310	14	5364	171233.993	147	1
14_enhancer_lociStitched	chr10	75600030	75634630	14	5944	171233.993	148	1
12_enhancer_lociStitched	chr8	46815320	46862880	12	6302	169867.716	149	1
12_enhancer_lociStitched	chr2	32271760	32314550	12	4802	169504.367	150	1
12_enhancer_lociStitched	chr2	132089500	132132330	12	5602	169504.367	151	1
12_enhancer_lociStitched	chr7	30052800	30062750	12	4042	169265.385	152	1
12_enhancer_lociStitched	chr19	3370140	3383700	12	4262	169265.385	153	1
12_enhancer_lociStitched	chr7	126613390	126627070	12	4772	169265.385	154	1
12_enhancer_lociStitched	chr19	34722010	34736590	12	5482	169265.385	155	1
12_enhancer_lociStitched	chr15	102149110	102166770	12	4052	169265.385	156	1
12_enhancer_lociStitched	chr7	26859390	26879760	12	4402	169265.385	157	1
12_enhancer_lociStitched	chr17	64906950	64929620	12	5432	169265.385	158	1
12_enhancer_lociStitched	chr10	80492210	80515660	12	5092	169265.385	159	1
12_enhancer_lociStitched	chr14	29722420	29746770	12	5202	169265.385	160	1
12_enhancer_lociStitched	chr4	139057970	139083090	12	4942	169265.385	161	1
12_enhancer_lociStitched	chr17	13154550	13179770	12	4772	169265.385	162	1
12_enhancer_lociStitched	chr8	92107290	92134980	12	5312	169265.385	163	1
12_enhancer_lociStitched	chr17	36324970	36354650	12	4382	169265.385	164	1
12_enhancer_lociStitched	chr2	167595730	167625540	12	6492	169265.385	165	1
12_enhancer_lociStitched	chr2	126387180	126417830	12	4752	169265.385	166	1
12_enhancer_lociStitched	chr11	110128010	110159820	12	5032	169265.385	167	1
12_enhancer_lociStitched	chr7	18724710	18758350	12	5722	169265.385	168	1
12_enhancer_lociStitched	chrX	37540710	37574770	12	4412	169265.385	169	1
14_enhancer_lociStitched	chr5	43365760	43393770	14	4464	169035.791	170	1
14_enhancer_lociStitched	chr11	118913610	118949750	14	5794	169035.791	171	1
14_enhancer_lociStitched	chr9	46107460	46153110	14	7774	169035.791	172	1
12_enhancer_lociStitched	chr8	124352480	124388690	12	4282	168907.574	173	1
14_enhancer_lociStitched	chr6	145283770	145307240	14	5304	168672.442	174	1
14_enhancer_lociStitched	chr11	113613190	113642960	14	4774	168672.442	175	1
14_enhancer_lociStitched	chr17	34026100	34062470	14	4634	168672.442	176	1
12_enhancer_lociStitched	chr18	12989850	13002720	12	5242	168668.592	177	1
12_enhancer_lociStitched	chr16	4690120	4704990	12	4192	168668.592	178	1
12_enhancer_lociStitched	chr10	79676510	79692100	12	3272	168668.592	179	1
12_enhancer_lociStitched	chr15	57556420	57572570	12	4512	168668.592	180	1
12_enhancer_lociStitched	chr2	110134300	110150650	12	4452	168668.592	181	1
12_enhancer_lociStitched	chr9	103101880	103121300	12	5842	168668.592	182	1
12_enhancer_lociStitched	chr2	34980430	34999970	12	5412	168668.592	183	1
12_enhancer_lociStitched	chr13	40994910	41014870	12	4632	168668.592	184	1
12_enhancer_lociStitched	chr19	36772620	36796610	12	5112	168668.592	185	1
12_enhancer_lociStitched	chr1	130999800	131025780	12	5462	168668.592	186	1
12_enhancer_lociStitched	chr19	8846990	8876280	12	5042	168668.592	187	1
12_enhancer_lociStitched	chr9	106300780	106331160	12	4812	168668.592	188	1
12_enhancer_lociStitched	chr3	18277890	18309010	12	5502	168668.592	189	1
12_enhancer_lociStitched	chr11	20396130	20430360	12	4512	168668.592	190	1
12_enhancer_lociStitched	chr4	43025340	43068790	12	4472	168668.592	191	1
12_enhancer_lociStitched	chr10	40016580	40063590	12	5112	168501.074	192	1
14_enhancer_lociStitched	chr11	60699060	60721890	14	5774	168433.46	193	1
14_enhancer_lociStitched	chr9	65196290	65220220	14	5584	168433.46	194	1
14_enhancer_lociStitched	chr3	88308450	88333740	14	5154	168433.46	195	1
14_enhancer_lociStitched	chr5	38628610	38665090	14	5024	168433.46	196	1
17_enhancer_lociStitched	chr4	61255410	61283170	17	7747	168378.532	197	1
17_enhancer_lociStitched	chr8	118372080	118405740	17	8117	168378.532	198	1
11_enhancer_lociStitched	chr7	28071930	28092450	11	4271	168015.39	199	1
11_enhancer_lociStitched	chr16	24198860	24222990	11	4801	168015.39	200	1
14_enhancer_lociStitched	chr12	80955420	80993150	14	5254	167908.131	201	1
14_enhancer_lociStitched	chr10	117247050	117258380	14	4014	167836.667	202	1
14_enhancer_lociStitched	chr15	89053590	89065570	14	4944	167836.667	203	1
14_enhancer_lociStitched	chr4	138694020	138708400	14	4614	167836.667	204	1
14_enhancer_lociStitched	chr10	68099130	68119330	14	5794	167836.667	205	1
14_enhancer_lociStitched	chr5	89595810	89616110	14	5684	167836.667	206	1
14_enhancer_lociStitched	chr15	82222880	82246780	14	5424	167836.667	207	1
14_enhancer_lociStitched	chr1	85965860	85993880	14	7074	167836.667	208	1
14_enhancer_lociStitched	chr11	49128420	49159430	14	5364	167836.667	209	1
14_enhancer_lociStitched	chr9	35016660	35050340	14	7074	167836.667	210	1
14_enhancer_lociStitched	chr5	130050940	130084900	14	6224	167836.667	211	1
14_enhancer_lociStitched	chr10	79906810	79953690	14	5714	167836.667	212	1
14_enhancer_lociStitched	chr14	51318540	51339100	14	6784	167183.465	213	1
14_enhancer_lociStitched	chr11	48707690	48729330	14	4714	167183.465	214	1
14_enhancer_lociStitched	chr4	60695190	60724270	14	7194	167183.465	215	1
14_enhancer_lociStitched	chr12	25269560	25303990	14	6034	167183.465	216	1
14_enhancer_lociStitched	chr11	60095880	60133000	14	6204	167183.465	217	1
12_enhancer_lociStitched	chr8	107822300	107878510	12	5122	166358.057	218	1
12_enhancer_lociStitched	chr3	62245730	62267000	12	4282	166119.075	219	1
12_enhancer_lociStitched	chr4	53134760	53160170	12	4512	166119.075	220	1
12_enhancer_lociStitched	chr16	30204700	30231870	12	4242	166119.075	221	1
12_enhancer_lociStitched	chr6	116601610	116631210	12	5212	166119.075	222	1
12_enhancer_lociStitched	chr8	106525020	106565920	12	5462	166119.075	223	1
12_enhancer_lociStitched	chr4	101531940	101575520	12	4782	166119.075	224	1
12_enhancer_lociStitched	chr1	192923520	192972600	12	5292	165994.708	225	1
12_enhancer_lociStitched	chr1	74047370	74084000	12	5332	165755.726	226	1
12_enhancer_lociStitched	chr10	116094140	116146890	12	5082	165755.726	227	1
14_enhancer_lociStitched	chr4	135600710	135650010	14	5544	165526.132	228	1
12_enhancer_lociStitched	chr4	117829930	117855520	12	5592	165516.744	229	1
12_enhancer_lociStitched	chr1	184456210	184487580	12	4202	165516.744	230	1
14_enhancer_lociStitched	chr2	130739770	130775190	14	5254	165287.15	231	1
14_enhancer_lociStitched	chr15	82632340	82679000	14	5294	165287.15	232	1
14_enhancer_lociStitched	chr5	129915670	129972230	14	5644	165287.15	233	1
14_enhancer_lociStitched	chr8	94897830	94927410	14	5314	164684.819	234	1
12_enhancer_lociStitched	chr15	75837300	75866470	12	4732	163208.711	235	1
12_enhancer_lociStitched	chr18	65156320	65188340	12	5882	163208.711	236	1
12_enhancer_lociStitched	chr9	120710230	120763440	12	4322	162845.362	237	1
12_enhancer_lociStitched	chr13	51244170	51257650	12	4202	162606.38	238	1
12_enhancer_lociStitched	chrX	13096140	13111660	12	3892	162606.38	239	1
12_enhancer_lociStitched	chr4	49544520	49566550	12	5462	162606.38	240	1
12_enhancer_lociStitched	chr14	61918180	61944170	12	3782	162606.38	241	1
12_enhancer_lociStitched	chr7	63534430	63567960	12	5232	162606.38	242	1
12_enhancer_lociStitched	chr11	115700440	115735030	12	4522	162606.38	243	1
12_enhancer_lociStitched	chr12	103898840	103933460	12	6572	162606.38	244	1
14_enhancer_lociStitched	chr4	141028280	141060060	14	6034	162376.786	245	1
14_enhancer_lociStitched	chr19	42116800	42159440	14	5584	162252.419	246	1
14_enhancer_lociStitched	chr3	14924280	14955080	14	6304	162013.437	247	1
14_enhancer_lociStitched	chr3	84216370	84266770	14	4804	161774.455	248	1
12_enhancer_lociStitched	chr9	108903030	108932540	12	4042	160826.712	249	1
12_enhancer_lociStitched	chr7	19029650	19079520	12	4092	160826.712	250	1
12_enhancer_lociStitched	chr2	152549600	152584100	12	4252	160463.363	251	1
12_enhancer_lociStitched	chr7	45238500	45293170	12	4122	160463.363	252	1
14_enhancer_lociStitched	chr4	42121970	42173340	14	5694	160233.769	253	1
12_enhancer_lociStitched	chr6	114850730	114871450	12	5062	160224.381	254	1
12_enhancer_lociStitched	chr3	96462580	96484430	12	3932	160100.014	255	1
27_enhancer_lociStitched	chr9	107410860	107470620	27	10077	155023.988	256	1
27_enhancer_lociStitched	chr17	45866390	45931110	27	11027	155023.988	257	1
16_enhancer_lociStitched	chr10	81003460	81028920	16	6896	152843.32	258	1
42_enhancer_lociStitched	chr8	71060870	71153720	42	15492	126707.372	259	1
32_enhancer_lociStitched	chr7	140993610	141057280	32	11842	123885.676	260	1
32_enhancer_lociStitched	chr11	120347920	120423340	32	11882	123217.851	261	1
16_enhancer_lociStitched	chr13	37803710	37855410	16	7696	115271.837	262	1
21_enhancer_lociStitched	chr14	52143370	52181340	21	8551	114628.028	263	1
35_enhancer_lociStitched	chr14	25451470	25541130	35	13855	113908.506	264	1
24_enhancer_lociStitched	chr9	121710420	121789870	24	10574	113705.359	265	1
40_enhancer_lociStitched	chr13	74599610	74766300	40	16970	113302.582	266	1
16_enhancer_lociStitched	chr11	102175420	102211340	16	5136	110742.499	267	1
16_enhancer_lociStitched	chr9	44216870	44258790	16	5746	110742.499	268	1
16_enhancer_lociStitched	chr11	120195900	120245010	16	6506	108395.571	269	1
27_enhancer_lociStitched	chr15	85484160	85567350	27	9887	103382.676	270	1
27_enhancer_lociStitched	chr10	127677640	127753420	27	10477	103184.574	271	1
16_enhancer_lociStitched	chr11	69767090	69812850	16	5656	103103.208	272	1
16_enhancer_lociStitched	chr19	6085890	6135240	16	6356	102739.859	273	1
16_enhancer_lociStitched	chr14	25902790	25958560	16	5496	102739.859	274	1
16_enhancer_lociStitched	chr3	101413410	101436900	16	6616	101003.906	275	1
16_enhancer_lociStitched	chr9	78413330	78441070	16	6606	101003.906	276	1
16_enhancer_lociStitched	chr4	141263630	141301250	16	7626	101003.906	277	1
16_enhancer_lociStitched	chr9	114634090	114673790	16	6486	101003.906	278	1
16_enhancer_lociStitched	chr8	41308430	41350340	16	7906	101003.906	279	1
16_enhancer_lociStitched	chr2	30566900	30609470	16	6496	101003.906	280	1
16_enhancer_lociStitched	chr15	59504190	59552910	16	7176	101003.906	281	1
21_enhancer_lociStitched	chr8	114812480	114870690	21	13191	99774.763	282	1
16_enhancer_lociStitched	chr8	95080690	95124300	16	6866	98835.955	283	1
22_enhancer_lociStitched	chr12	25142200	25193860	22	9592	98337.182	284	1
21_enhancer_lociStitched	chr3	98131760	98191300	21	10041	96790.433	285	1
26_enhancer_lociStitched	chr14	40816530	40897210	26	13816	95624.913	286	1
16_enhancer_lociStitched	chr16	55844470	55896590	16	5396	95087.314	287	1
21_enhancer_lociStitched	chr7	140458710	140507480	21	7801	91533.141	288	1
16_enhancer_lociStitched	chr12	83625740	83679590	16	5356	89794.951	289	1
16_enhancer_lociStitched	chr11	88845570	88903640	16	5956	89794.951	290	1
16_enhancer_lociStitched	chr6	48548250	48579990	16	6096	89104.51	291	1
16_enhancer_lociStitched	chr8	123007720	123057650	16	6046	89104.51	292	1
16_enhancer_lociStitched	chr15	76211060	76236080	16	5606	88865.528	293	1
16_enhancer_lociStitched	chr4	61433190	61464700	16	7866	88865.528	294	1
16_enhancer_lociStitched	chr2	71983160	72032210	16	8156	88865.528	295	1
21_enhancer_lociStitched	chr15	77242820	77295590	21	7471	87684.422	296	1
21_enhancer_lociStitched	chr2	163348530	163403730	21	10931	87051.84	297	1
26_enhancer_lociStitched	chr13	41349360	41415490	26	10406	86776.473	298	1
16_enhancer_lociStitched	chr19	23089220	23120630	16	7036	86303.977	299	1
16_enhancer_lociStitched	chr1	60676140	60709160	16	5676	86303.977	300	1
16_enhancer_lociStitched	chr9	108139440	108184330	16	5606	86303.977	301	1
22_enhancer_lociStitched	chr11	53313490	53355120	22	7462	86198.804	302	1
16_enhancer_lociStitched	chr5	66289600	66314270	16	5726	86064.995	303	1
16_enhancer_lociStitched	chr18	64458710	64494140	16	6296	86064.995	304	1
16_enhancer_lociStitched	chr19	29078240	29112200	16	6176	85707.184	305	1
16_enhancer_lociStitched	chrX	11943280	11958480	16	5806	85468.202	306	1
16_enhancer_lociStitched	chr1	67131390	67167790	16	7686	85468.202	307	1
16_enhancer_lociStitched	chr17	35171260	35201600	16	6356	84815	308	1
16_enhancer_lociStitched	chr15	78285520	78316520	16	6346	84815	309	1
16_enhancer_lociStitched	chr10	127572680	127617300	16	6576	84815	310	1
16_enhancer_lociStitched	chr4	61674630	61729840	16	8336	84815	311	1
18_enhancer_lociStitched	chr5	134994880	135039200	18	6918	83754.223	312	1
18_enhancer_lociStitched	chr8	85692510	85717830	18	7878	83515.241	313	1
18_enhancer_lociStitched	chr11	98663660	98701240	18	7728	83515.241	314	1
16_enhancer_lociStitched	chr9	69183380	69247010	16	6716	83157.667	315	1
16_enhancer_lociStitched	chr17	26803040	26857230	16	6266	82918.685	316	1
16_enhancer_lociStitched	chr1	88022170	88075630	16	6966	82555.336	317	1
22_enhancer_lociStitched	chr12	86909120	86952020	22	9352	81996.558	318	1
21_enhancer_lociStitched	chr9	43137380	43185580	21	9121	81135.248	319	1
24_enhancer_lociStitched	chr2	32583640	32647910	24	8514	80380.097	320	1
22_enhancer_lociStitched	chr5	137291510	137350730	22	8952	80251.961	321	1
16_enhancer_lociStitched	chr6	124751970	124791850	16	5206	79405.99	322	1
16_enhancer_lociStitched	chr18	60344430	60385940	16	7536	79405.99	323	1
16_enhancer_lociStitched	chr8	24902270	24947080	16	5966	79405.99	324	1
21_enhancer_lociStitched	chr11	4043420	4085660	21	8901	78007.623	325	1
21_enhancer_lociStitched	chr18	64739220	64794670	21	7481	77410.83	326	1
21_enhancer_lociStitched	chr6	71119570	71183790	21	10561	77410.83	327	1
22_enhancer_lociStitched	chr10	111402690	111462350	22	8872	77341.597	328	1
21_enhancer_lociStitched	chr11	70537630	70604490	21	7911	75699.59	329	1
24_enhancer_lociStitched	chr14	21125530	21168560	24	10554	74317.885	330	1
18_enhancer_lociStitched	chr5	9075670	9107820	18	6818	73776.648	331	1
18_enhancer_lociStitched	chr8	87319790	87354780	18	6648	73776.648	332	1
24_enhancer_lociStitched	chr7	34775840	34830230	24	8814	73503.831	333	1
13_enhancer_lociStitched	chr11	48744000	48764160	13	4763	73171.016	334	1
13_enhancer_lociStitched	chr9	65102900	65126560	13	5053	73171.016	335	1
21_enhancer_lociStitched	chr10	128002620	128068840	21	7581	72954.242	336	1
26_enhancer_lociStitched	chr4	45452370	45532730	26	11406	72356.406	337	1
18_enhancer_lociStitched	chr6	72192760	72249730	18	7528	71608.697	338	1
18_enhancer_lociStitched	chr5	115622280	115681790	18	7128	71608.697	339	1
21_enhancer_lociStitched	chr8	70958940	71020690	21	8981	71101.916	340	1
26_enhancer_lociStitched	chr5	31064710	31118040	26	9476	70991.796	341	1
21_enhancer_lociStitched	chr6	85797170	85851950	21	10051	70862.934	342	1
22_enhancer_lociStitched	chr17	36420770	36516690	22	9742	70692.345	343	1
26_enhancer_lociStitched	chr10	81237520	81271640	26	9556	70389.465	344	1
24_enhancer_lociStitched	chr6	85872100	85914550	24	10814	69940.265	345	1
21_enhancer_lociStitched	chr1	133804710	133889910	21	7521	69807.932	346	1
22_enhancer_lociStitched	chr2	154892400	154945340	22	10622	69108.442	347	1
18_enhancer_lociStitched	chr15	78705810	78762030	18	6488	67860.056	348	1
