userId	geneSymbol	geneName	entrezgene	gLink
Lsm4	Lsm4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated	50783	https://www.ncbi.nlm.nih.gov/gene/?term=50783
Sc5d	Sc5d	sterol-C5-desaturase	235293	https://www.ncbi.nlm.nih.gov/gene/?term=235293
Cyp1a2	Cyp1a2	cytochrome P450, family 1, subfamily a, polypeptide 2	13077	https://www.ncbi.nlm.nih.gov/gene/?term=13077
Csrnp1	Csrnp1	cysteine-serine-rich nuclear protein 1	215418	https://www.ncbi.nlm.nih.gov/gene/?term=215418
Gnai2	Gnai2	guanine nucleotide binding protein (G protein), alpha inhibiting 2	14678	https://www.ncbi.nlm.nih.gov/gene/?term=14678
Troap	Troap	trophinin associated protein	78733	https://www.ncbi.nlm.nih.gov/gene/?term=78733
Gucd1	Gucd1	guanylyl cyclase domain containing 1	68778	https://www.ncbi.nlm.nih.gov/gene/?term=68778
Lrrc24	Lrrc24	leucine rich repeat containing 24	378937	https://www.ncbi.nlm.nih.gov/gene/?term=378937
Lrrc14	Lrrc14	leucine rich repeat containing 14	223664	https://www.ncbi.nlm.nih.gov/gene/?term=223664
Recql4	Recql4	RecQ protein-like 4	79456	https://www.ncbi.nlm.nih.gov/gene/?term=79456
Fgg	Fgg	fibrinogen gamma chain	99571	https://www.ncbi.nlm.nih.gov/gene/?term=99571
Irf2bpl	Irf2bpl	interferon regulatory factor 2 binding protein-like	238330	https://www.ncbi.nlm.nih.gov/gene/?term=238330
Grn	Grn	granulin	14824	https://www.ncbi.nlm.nih.gov/gene/?term=14824
Fam214a	Fam214a	family with sequence similarity 214, member A	235493	https://www.ncbi.nlm.nih.gov/gene/?term=235493
Rtkn	Rtkn	rhotekin	20166	https://www.ncbi.nlm.nih.gov/gene/?term=20166
Arl4d	Arl4d	ADP-ribosylation factor-like 4D	80981	https://www.ncbi.nlm.nih.gov/gene/?term=80981
Cebpa	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	12606	https://www.ncbi.nlm.nih.gov/gene/?term=12606
Eva1a	Eva1a	eva-1 homolog A (C. elegans)	232146	https://www.ncbi.nlm.nih.gov/gene/?term=232146
Midn	Midn	midnolin	59090	https://www.ncbi.nlm.nih.gov/gene/?term=59090
Cbarp	Cbarp	calcium channel, voltage-dependent, beta subunit associated regulatory protein	100503659	https://www.ncbi.nlm.nih.gov/gene/?term=100503659
Pim3	Pim3	proviral integration site 3	223775	https://www.ncbi.nlm.nih.gov/gene/?term=223775
Rusc2	Rusc2	RUN and SH3 domain containing 2	100213	https://www.ncbi.nlm.nih.gov/gene/?term=100213
Sigmar1	Sigmar1	sigma non-opioid intracellular receptor 1	18391	https://www.ncbi.nlm.nih.gov/gene/?term=18391
Hyal3	Hyal3	hyaluronoglucosaminidase 3	109685	https://www.ncbi.nlm.nih.gov/gene/?term=109685
Acaa2	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	52538	https://www.ncbi.nlm.nih.gov/gene/?term=52538
Cyb561d2	Cyb561d2	cytochrome b-561 domain containing 2	56368	https://www.ncbi.nlm.nih.gov/gene/?term=56368
Larp1	Larp1	La ribonucleoprotein domain family, member 1	73158	https://www.ncbi.nlm.nih.gov/gene/?term=73158
Srrt	Srrt	serrate RNA effector molecule homolog (Arabidopsis)	83701	https://www.ncbi.nlm.nih.gov/gene/?term=83701
Tbx10	Tbx10	T-box 10	109575	https://www.ncbi.nlm.nih.gov/gene/?term=109575
Nr0b2	Nr0b2	nuclear receptor subfamily 0, group B, member 2	23957	https://www.ncbi.nlm.nih.gov/gene/?term=23957
Ndufv1	Ndufv1	NADH:ubiquinone oxidoreductase core subunit V1	17995	https://www.ncbi.nlm.nih.gov/gene/?term=17995
Dnajc22	Dnajc22	DnaJ heat shock protein family (Hsp40) member C22	72778	https://www.ncbi.nlm.nih.gov/gene/?term=72778
Gstp2	Gstp2	glutathione S-transferase, pi 2	14869	https://www.ncbi.nlm.nih.gov/gene/?term=14869
Tlcd2	Tlcd2	TLC domain containing 2	380712	https://www.ncbi.nlm.nih.gov/gene/?term=380712
Serpinf2	Serpinf2	serine (or cysteine) peptidase inhibitor, clade F, member 2	18816	https://www.ncbi.nlm.nih.gov/gene/?term=18816
Lasp1	Lasp1	LIM and SH3 protein 1	16796	https://www.ncbi.nlm.nih.gov/gene/?term=16796
Polr2l	Polr2l	polymerase (RNA) II (DNA directed) polypeptide L	66491	https://www.ncbi.nlm.nih.gov/gene/?term=66491
Gdf15	Gdf15	growth differentiation factor 15	23886	https://www.ncbi.nlm.nih.gov/gene/?term=23886
Edc3	Edc3	enhancer of mRNA decapping 3	353190	https://www.ncbi.nlm.nih.gov/gene/?term=353190
Wdr45	Wdr45	WD repeat domain 45	54636	https://www.ncbi.nlm.nih.gov/gene/?term=54636
Uhrf1bp1	Uhrf1bp1	UHRF1 (ICBP90) binding protein 1	224648	https://www.ncbi.nlm.nih.gov/gene/?term=224648
Mrpl12	Mrpl12	mitochondrial ribosomal protein L12	56282	https://www.ncbi.nlm.nih.gov/gene/?term=56282
Oxld1	Oxld1	oxidoreductase like domain containing 1	66431	https://www.ncbi.nlm.nih.gov/gene/?term=66431
Ndufb10	Ndufb10	NADH:ubiquinone oxidoreductase subunit B10	68342	https://www.ncbi.nlm.nih.gov/gene/?term=68342
Sdr9c7	Sdr9c7	4short chain dehydrogenase/reductase family 9C, member 7	70061	https://www.ncbi.nlm.nih.gov/gene/?term=70061
Rdh7	Rdh7	retinol dehydrogenase 7	54150	https://www.ncbi.nlm.nih.gov/gene/?term=54150
Slc26a10	Slc26a10	solute carrier family 26, member 10	216441	https://www.ncbi.nlm.nih.gov/gene/?term=216441
Apoc1	Apoc1	apolipoprotein C-I	11812	https://www.ncbi.nlm.nih.gov/gene/?term=11812
Tbl3	Tbl3	transducin (beta)-like 3	213773	https://www.ncbi.nlm.nih.gov/gene/?term=213773
Agmat	Agmat	agmatine ureohydrolase (agmatinase)	75986	https://www.ncbi.nlm.nih.gov/gene/?term=75986
Gfer	Gfer	growth factor, augmenter of liver regeneration	11692	https://www.ncbi.nlm.nih.gov/gene/?term=11692
Trir	Trir	telomerase RNA component interacting RNase	68544	https://www.ncbi.nlm.nih.gov/gene/?term=68544
Ccdc9	Ccdc9	coiled-coil domain containing 9	243846	https://www.ncbi.nlm.nih.gov/gene/?term=243846
Tbc1d10b	Tbc1d10b	TBC1 domain family, member 10b	68449	https://www.ncbi.nlm.nih.gov/gene/?term=68449
Cd2bp2	Cd2bp2	CD2 antigen (cytoplasmic tail) binding protein 2	70233	https://www.ncbi.nlm.nih.gov/gene/?term=70233
Acad12	Acad12	acyl-Coenzyme A dehydrogenase family, member 12	338350	https://www.ncbi.nlm.nih.gov/gene/?term=338350
Fem1a	Fem1a	feminization 1 homolog a (C. elegans)	14154	https://www.ncbi.nlm.nih.gov/gene/?term=14154
Proca1	Proca1	protein interacting with cyclin A1	216974	https://www.ncbi.nlm.nih.gov/gene/?term=216974
Gpr146	Gpr146	G protein-coupled receptor 146	80290	https://www.ncbi.nlm.nih.gov/gene/?term=80290
Alkbh2	Alkbh2	alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase	231642	https://www.ncbi.nlm.nih.gov/gene/?term=231642
Rps2	Rps2	ribosomal protein S2	16898	https://www.ncbi.nlm.nih.gov/gene/?term=16898
Ackr2	Ackr2	atypical chemokine receptor 2	59289	https://www.ncbi.nlm.nih.gov/gene/?term=59289
Cyb5d1	Cyb5d1	cytochrome b5 domain containing 1	327951	https://www.ncbi.nlm.nih.gov/gene/?term=327951
Shb	Shb	src homology 2 domain-containing transforming protein B	230126	https://www.ncbi.nlm.nih.gov/gene/?term=230126
S1pr5	S1pr5	sphingosine-1-phosphate receptor 5	94226	https://www.ncbi.nlm.nih.gov/gene/?term=94226
Borcs6	Borcs6	BLOC-1 related complex subunit 6	71923	https://www.ncbi.nlm.nih.gov/gene/?term=71923
Cirbp	Cirbp	cold inducible RNA binding protein	12696	https://www.ncbi.nlm.nih.gov/gene/?term=12696
Wdr81	Wdr81	WD repeat domain 81	192652	https://www.ncbi.nlm.nih.gov/gene/?term=192652
Tmem88	Tmem88	transmembrane protein 88	67020	https://www.ncbi.nlm.nih.gov/gene/?term=67020
Cox19	Cox19	cytochrome c oxidase assembly protein 19	68033	https://www.ncbi.nlm.nih.gov/gene/?term=68033
Sys1	Sys1	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)	66460	https://www.ncbi.nlm.nih.gov/gene/?term=66460
Zfp553	Zfp553	zinc finger protein 553	233887	https://www.ncbi.nlm.nih.gov/gene/?term=233887
Ticam1	Ticam1	toll-like receptor adaptor molecule 1	106759	https://www.ncbi.nlm.nih.gov/gene/?term=106759
Tgif1	Tgif1	TGFB-induced factor homeobox 1	21815	https://www.ncbi.nlm.nih.gov/gene/?term=21815
Atg16l2	Atg16l2	autophagy related 16-like 2 (S. cerevisiae)	73683	https://www.ncbi.nlm.nih.gov/gene/?term=73683
Cracr2b	Cracr2b	calcium release activated channel regulator 2B	213573	https://www.ncbi.nlm.nih.gov/gene/?term=213573
Tob2	Tob2	transducer of ERBB2, 2	57259	https://www.ncbi.nlm.nih.gov/gene/?term=57259
Sephs2	Sephs2	selenophosphate synthetase 2	20768	https://www.ncbi.nlm.nih.gov/gene/?term=20768
Ccdc137	Ccdc137	coiled-coil domain containing 137	67291	https://www.ncbi.nlm.nih.gov/gene/?term=67291
Lrrc25	Lrrc25	leucine rich repeat containing 25	211228	https://www.ncbi.nlm.nih.gov/gene/?term=211228
Cyp8b1	Cyp8b1	cytochrome P450, family 8, subfamily b, polypeptide 1	13124	https://www.ncbi.nlm.nih.gov/gene/?term=13124
Gatd1	Gatd1	glutamine amidotransferase like class 1 domain containing 1	213350	https://www.ncbi.nlm.nih.gov/gene/?term=213350
Ufsp1	Ufsp1	UFM1-specific peptidase 1	70240	https://www.ncbi.nlm.nih.gov/gene/?term=70240
Mafg	Mafg	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)	17134	https://www.ncbi.nlm.nih.gov/gene/?term=17134
Nrros	Nrros	negative regulator of reactive oxygen species	224109	https://www.ncbi.nlm.nih.gov/gene/?term=224109
Fes	Fes	feline sarcoma oncogene	14159	https://www.ncbi.nlm.nih.gov/gene/?term=14159
Ier2	Ier2	immediate early response 2	15936	https://www.ncbi.nlm.nih.gov/gene/?term=15936
A930004D18Rik	A930004D18Rik	RIKEN cDNA A930004D18 gene	77940	https://www.ncbi.nlm.nih.gov/gene/?term=77940
Skida1	Skida1	SKI/DACH domain containing 1	72668	https://www.ncbi.nlm.nih.gov/gene/?term=72668
Syne3	Syne3	spectrin repeat containing, nuclear envelope family member 3	212073	https://www.ncbi.nlm.nih.gov/gene/?term=212073
Klf1	Klf1	Kruppel-like factor 1 (erythroid)	16596	https://www.ncbi.nlm.nih.gov/gene/?term=16596
Tprkb	Tprkb	Tp53rk binding protein	69786	https://www.ncbi.nlm.nih.gov/gene/?term=69786
Zfp771	Zfp771	zinc finger protein 771	244216	https://www.ncbi.nlm.nih.gov/gene/?term=244216
Pgpep1	Pgpep1	pyroglutamyl-peptidase I	66522	https://www.ncbi.nlm.nih.gov/gene/?term=66522
Nat8f1	Nat8f1	N-acetyltransferase 8 (GCN5-related) family member 1	66116	https://www.ncbi.nlm.nih.gov/gene/?term=66116
Arl16	Arl16	ADP-ribosylation factor-like 16	70317	https://www.ncbi.nlm.nih.gov/gene/?term=70317
Gstp3	Gstp3	glutathione S-transferase pi 3	225884	https://www.ncbi.nlm.nih.gov/gene/?term=225884
Rpl23a	Rpl23a	ribosomal protein L23A	268449	https://www.ncbi.nlm.nih.gov/gene/?term=268449
Sh2d3c	Sh2d3c	SH2 domain containing 3C	27387	https://www.ncbi.nlm.nih.gov/gene/?term=27387
Naa38	Naa38	N(alpha)-acetyltransferase 38, NatC auxiliary subunit	78304	https://www.ncbi.nlm.nih.gov/gene/?term=78304
Wdr83os	Wdr83os	WD repeat domain 83 opposite strand	414077	https://www.ncbi.nlm.nih.gov/gene/?term=414077
Eif4a1	Eif4a1	eukaryotic translation initiation factor 4A1	13681	https://www.ncbi.nlm.nih.gov/gene/?term=13681
Dhps	Dhps	deoxyhypusine synthase	330817	https://www.ncbi.nlm.nih.gov/gene/?term=330817
Gstp1	Gstp1	glutathione S-transferase, pi 1	14870	https://www.ncbi.nlm.nih.gov/gene/?term=14870
Phf5a	Phf5a	PHD finger protein 5A	68479	https://www.ncbi.nlm.nih.gov/gene/?term=68479
Cyp2d22	Cyp2d22	cytochrome P450, family 2, subfamily d, polypeptide 22	56448	https://www.ncbi.nlm.nih.gov/gene/?term=56448
Rps15	Rps15	ribosomal protein S15	20054	https://www.ncbi.nlm.nih.gov/gene/?term=20054
Fbxl18	Fbxl18	F-box and leucine-rich repeat protein 18	231863	https://www.ncbi.nlm.nih.gov/gene/?term=231863
Cyp2d11	Cyp2d11	cytochrome P450, family 2, subfamily d, polypeptide 11	545123	https://www.ncbi.nlm.nih.gov/gene/?term=545123
